"ID",管理コード,品番,物販名,略名,店舗名,物販カテゴリ,軽減税率対象,販売価格（税込）,販売価格（税抜）,原価,購入ポイント数,表示順序,適用開始日,適用終了日,有効フラグ,作成日時,作成者,更新日時,更新者
485106,"","","オイル","オイル","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,3388,3080,,,103,2023-02-18,,有効,2023-02-18 17:24:07,LUXAS　溝口_user,2026-04-30 19:13:46,LUXAS　溝口_user
489317,"","","ミントシャンプー","ミントシャンプー","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,2156,1960,,,104,2023-05-03,,有効,2023-05-03 11:57:19,LUXAS　溝口_user,2024-11-15 11:21:50,株式会社　東邦_user
490092,"","","新規10％OFF45分","新規10％OFF45分","LUXAS 渋谷(ラクサス 渋谷)",,無効,4620,4200,,,800,2023-05-21,2023-05-23,無効,2023-05-21 20:22:50,LUXAS 渋谷_user,2023-05-23 14:16:51,LUXAS 渋谷_user
490093,"","","新規15％OFF60分","新規15％OFF60分","LUXAS 渋谷(ラクサス 渋谷)",,無効,6160,5600,,,801,2023-05-21,2023-05-23,無効,2023-05-21 20:23:52,LUXAS 渋谷_user,2023-05-23 14:17:02,LUXAS 渋谷_user
496387,"","","ミントベル","ミントベル","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,1980,1800,,,105,2023-07-16,,有効,2023-07-16 17:31:01,LUXAS　溝口_user,2024-11-15 11:21:15,株式会社　東邦_user
500517,"","","シャンプーギフト券","シャンプーギフト券","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","シャンプーギフト券",無効,3300,3000,,,106,2023-09-28,,有効,2023-09-28 15:07:36,LUXAS　溝口_user,2024-11-15 11:22:41,株式会社　東邦_user
500756,"","","夢スパギフト券","夢スパギフト券","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","シャンプーギフト券",無効,5500,5000,,,107,2023-09-30,,有効,2023-09-30 12:23:41,LUXAS　溝口_user,2026-03-23 13:21:32,LUXAS　溝口_user
511596,"","","インバウンド60","インバウンド60","LUXAS 渋谷(ラクサス 渋谷)","物販",無効,6160,5600,,,0,2024-02-24,2024-12-31,有効,2024-02-24 20:12:04,LUXAS 渋谷_user,2024-11-05 18:48:58,LUXAS 渋谷_user
511597,"","","インバウンド75","インバウンド75","LUXAS 渋谷(ラクサス 渋谷)","物販",無効,7700,7000,,,0,2024-02-24,2024-12-31,有効,2024-02-24 20:14:16,LUXAS 渋谷_user,2024-11-05 18:49:29,LUXAS 渋谷_user
511598,"","","インバウンド90","インバウンド90","LUXAS 渋谷(ラクサス 渋谷)","物販",無効,9240,8400,,,0,2024-02-24,2024-12-31,有効,2024-02-24 20:15:00,LUXAS 渋谷_user,2024-11-05 18:49:58,LUXAS 渋谷_user
511599,"","","インバウンド105","インバウンド105","LUXAS 渋谷(ラクサス 渋谷)","物販",無効,10780,9800,,,0,2024-02-24,2024-12-31,有効,2024-02-24 20:18:01,LUXAS 渋谷_user,2024-11-05 18:50:26,LUXAS 渋谷_user
511600,"","","インバウンド120","インバウンド120","LUXAS 渋谷(ラクサス 渋谷)","物販",無効,12320,11200,,,0,2024-02-24,2024-12-31,有効,2024-02-24 20:20:07,LUXAS 渋谷_user,2024-11-05 18:52:05,LUXAS 渋谷_user
511805,"","","インバウンド45","インバウンド45","LUXAS 渋谷(ラクサス 渋谷)","物販",無効,4620,4200,,,0,2024-02-27,2024-12-31,有効,2024-02-27 17:42:54,LUXAS 渋谷_user,2024-11-05 18:52:31,LUXAS 渋谷_user
511806,"","","インバウンド30","インバウンド30","LUXAS 渋谷(ラクサス 渋谷)","物販",無効,3080,2800,,,0,2024-02-27,2024-12-31,有効,2024-02-27 17:43:24,LUXAS 渋谷_user,2024-11-05 18:53:03,LUXAS 渋谷_user
511810,"","","インバウンド頭ほぐし","インバウンド頭ほぐし","LUXAS 渋谷(ラクサス 渋谷)","物販",無効,1980,1800,,,0,2024-02-27,2024-12-31,有効,2024-02-27 17:47:18,LUXAS 渋谷_user,2024-11-05 18:53:39,LUXAS 渋谷_user
516180,"","","2回目チケットシャンプー","2回目チケットシャンプー","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,2300,2091,,,108,2024-05-18,,有効,2024-05-18 12:17:20,LUXAS　溝口_user,2024-11-15 11:24:09,株式会社　東邦_user
516181,"","","2回目チケット夢","2回目チケット夢","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,4500,4091,,,109,2024-05-18,,有効,2024-05-18 12:18:41,LUXAS　溝口_user,2024-11-15 11:24:58,株式会社　東邦_user
516182,"","","2回目チケット深層","2回目チケット深層","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,12200,11091,,,110,2024-05-18,,有効,2024-05-18 12:19:23,LUXAS　溝口_user,2024-11-15 11:26:19,株式会社　東邦_user
528191,"","","インバウンド30","インバウンド30","LUXAS 渋谷(ラクサス 渋谷)","物販",無効,3410,3100,,,11,2025-01-01,,有効,2024-11-16 15:10:13,株式会社　東邦_user,2025-01-21 15:23:25,LUXAS 渋谷_user
528192,"","","インバウンド45","インバウンド45","LUXAS 渋谷(ラクサス 渋谷)","物販",無効,5115,4650,,,12,2025-01-01,,有効,2024-11-16 15:11:54,株式会社　東邦_user,2025-01-21 15:23:34,LUXAS 渋谷_user
528193,"","","インバウンド60","インバウンド60","LUXAS 渋谷(ラクサス 渋谷)","物販",無効,6820,6200,,,13,2025-01-01,,有効,2024-11-16 15:12:59,株式会社　東邦_user,2025-01-21 15:23:45,LUXAS 渋谷_user
528194,"","","インバウンド75","インバウンド75","LUXAS 渋谷(ラクサス 渋谷)","物販",無効,8525,7750,,,14,2025-01-01,,有効,2024-11-16 15:22:04,株式会社　東邦_user,2025-01-21 15:23:56,LUXAS 渋谷_user
528195,"","","インバウンド90","インバウンド90","LUXAS 渋谷(ラクサス 渋谷)","物販",無効,10230,9300,,,15,2025-01-01,,有効,2024-11-16 15:22:58,株式会社　東邦_user,2025-01-21 15:24:06,LUXAS 渋谷_user
528196,"","","インバウンド105","インバウンド105","LUXAS 渋谷(ラクサス 渋谷)","物販",無効,11935,10850,,,16,2025-01-01,,有効,2024-11-16 15:24:10,株式会社　東邦_user,2025-01-21 15:24:14,LUXAS 渋谷_user
528197,"","","インバウンド120","インバウンド120","LUXAS 渋谷(ラクサス 渋谷)","物販",無効,13640,12400,,,17,2025-01-01,,有効,2024-11-16 15:25:12,株式会社　東邦_user,2025-01-21 15:24:32,LUXAS 渋谷_user
528198,"","","インバウンド頭ほぐし15分","インバウンド頭ほぐし15分","LUXAS 渋谷(ラクサス 渋谷)","物販",無効,2365,2150,,,18,2025-01-01,,有効,2024-11-16 15:26:23,株式会社　東邦_user,2025-01-21 15:24:42,LUXAS 渋谷_user
528371,"","","＋F割30分延長","＋F割30分延長","LUXAS+（ラクサスプラス）横浜元町中華街","プリペイド利用",無効,715,650,,,208,2025-01-01,2025-11-17,無効,2024-11-18 18:32:40,株式会社　東邦_user,2025-11-17 11:51:24,LUXAS+ 横浜元町中華街_user
529801,"","","ミント5回","ミント5回","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,20780,18891,,,1,2024-12-17,,有効,2024-12-17 18:12:44,LUXAS　溝口_user,2025-07-09 17:52:07,LUXAS　溝口_user
529808,"","","ミント10回","ミント10回","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,34980,31800,,,1,2024-12-18,,有効,2024-12-18 11:57:53,LUXAS　溝口_user,2025-07-09 17:52:51,LUXAS　溝口_user
529809,"","","シンプリス5回","シンプリス5回","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,22740,20673,,,2,2024-12-18,,有効,2024-12-18 11:59:09,LUXAS　溝口_user,2024-12-18 11:59:09,LUXAS　溝口_user
529810,"","","シンプリス10回","シンプリス10回","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,36940,33582,,,3,2024-12-18,,有効,2024-12-18 11:59:51,LUXAS　溝口_user,2024-12-18 11:59:51,LUXAS　溝口_user
530774,"","","スプリナージュトリートメント5回","スプリナージュトリートメント5回","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,23780,21618,,,2,2024-12-28,,有効,2024-12-28 20:20:36,LUXAS　溝口_user,2024-12-28 20:20:36,LUXAS　溝口_user
530775,"","","スプリナージュトリートメント10回","スプリナージュトリートメント10回","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,37980,34527,,,1,2024-12-28,,有効,2024-12-28 20:21:35,LUXAS　溝口_user,2024-12-28 20:21:35,LUXAS　溝口_user
530906,"","","スプリナージュ５回ピンク","スプリナージュ５回ピンク","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,20600,18727,,,1,2025-01-04,,有効,2025-01-04 11:44:47,LUXAS　溝口_user,2025-01-04 11:44:47,LUXAS　溝口_user
532048,"","","スプリナージュシャンプー","スプリナージュシャンプー","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,3080,2800,,,1,2025-02-07,,有効,2025-02-07 18:55:27,LUXAS　溝口_user,2025-03-01 11:47:57,LUXAS　溝口_user
532049,"","","スプリナージュトリートメント","スプリナージュトリートメント","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,3080,2800,,,1,2025-02-07,,有効,2025-02-07 19:00:33,LUXAS　溝口_user,2025-03-01 11:48:03,LUXAS　溝口_user
533182,"","","スプリナージュSHピンク","スプリナージュSHピンク","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,3300,3000,,,10,2025-03-13,,有効,2025-03-13 19:47:31,LUXAS　溝口_user,2025-03-13 19:47:31,LUXAS　溝口_user
533183,"","","スプリナージュTRピンク","スプリナージュTRピンク","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,3300,3000,,,11,2025-03-13,,有効,2025-03-13 19:49:30,LUXAS　溝口_user,2025-03-13 19:49:30,LUXAS　溝口_user
533321,"","","天使初回シャンプーセット　オレンジ","天使初回シャンプーセット　オレンジ","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","天使の輪&天使の羽",無効,6160,5600,,,2,2025-03-18,,有効,2025-03-18 18:07:41,LUXAS　溝口_user,2025-05-14 12:51:27,LUXAS　溝口_user
535316,"","","スプリナージュミストピンク","スプリナージュミストピンク","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,3300,3000,,,5,2025-04-10,,有効,2025-04-10 18:49:25,LUXAS　溝口_user,2025-04-10 18:49:25,LUXAS　溝口_user
536692,"","","天使初回シャンプーセット　ピンク","天使初回シャンプーセット　ピンク","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","天使の輪&天使の羽",無効,6600,6000,,,2,2025-05-14,,有効,2025-05-14 12:52:55,LUXAS　溝口_user,2025-05-14 12:53:04,LUXAS　溝口_user
536984,"","","スプリナージュshピンク大￥5500","スプリナージュshピンク大￥5500","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,5500,5000,,,0,2025-05-25,,有効,2025-05-25 15:20:04,LUXAS　溝口_user,2025-05-25 15:20:04,LUXAS　溝口_user
544824,"","","冬福5回　￥22100","冬福5回　￥22100","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,22100,20091,,,0,2025-12-13,2026-03-01,有効,2025-12-13 11:45:12,LUXAS　溝口_user,2026-04-01 14:36:13,LUXAS　溝口_user
544825,"","","冬福10回　￥36300","冬福10回　￥36300","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,36300,33000,,,0,2025-12-13,2026-03-01,有効,2025-12-13 11:46:18,LUXAS　溝口_user,2026-04-01 14:36:32,LUXAS　溝口_user
546334,"","","鬼払い（新規）","鬼払い（新規）","LUXAS 渋谷(ラクサス 渋谷)","プリペイド利用",無効,1430,1300,,,0,2026-02-03,2026-02-03,無効,2026-02-03 15:24:09,LUXAS 渋谷_user,2026-02-03 15:27:23,LUXAS 渋谷_user
548900,"","","2回目チケット眼精疲労スパ","2回目チケット眼精疲労スパ","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,8900,8091,,,0,2026-03-21,,有効,2026-03-21 11:42:58,LUXAS　溝口_user,2026-03-21 11:42:58,LUXAS　溝口_user
548978,"","","眼精スパギフト券","眼精スパギフト券","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","シャンプーギフト券",無効,9900,9000,,,0,2026-03-23,,有効,2026-03-23 13:24:36,LUXAS　溝口_user,2026-03-23 13:24:36,LUXAS　溝口_user
548979,"","","深層ギフト券","深層ギフト券","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","シャンプーギフト券",無効,13200,12000,,,0,2026-03-23,,有効,2026-03-23 13:25:31,LUXAS　溝口_user,2026-03-23 13:25:31,LUXAS　溝口_user
548980,"","","整体60分ギフト券","整体60分ギフト券","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","整体ギフト券",無効,6820,6200,,,0,2026-03-23,,有効,2026-03-23 13:29:14,LUXAS　溝口_user,2026-03-23 13:29:14,LUXAS　溝口_user
551984,"","","金曜日のシャンプー","金曜日のシャンプー","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","物販",無効,3960,3600,,,0,2026-06-11,,有効,2026-06-11 14:57:51,LUXAS　溝口_user,2026-06-11 14:57:51,LUXAS　溝口_user
